"DateTime","Players","Flags","Twitch Viewers"
"2017-12-01 00:00:00",1,,0
"2017-12-02 00:00:00",,,8
"2017-12-03 00:00:00",,,0
"2017-12-04 00:00:00",,,0
"2017-12-05 00:00:00",1,,0
"2017-12-06 00:00:00",2,,0
"2017-12-07 00:00:00",3,,0
"2017-12-08 00:00:00",2,,0
"2017-12-09 00:00:00",,,0
"2017-12-10 00:00:00",,,0
"2017-12-11 00:00:00",6,,0
"2017-12-12 00:00:00",10,,0
"2017-12-13 00:00:00",39,,0
"2017-12-14 00:00:00",2,,0
"2017-12-15 00:00:00",2,,0
"2017-12-16 00:00:00",,,0
"2017-12-17 00:00:00",,,0
"2017-12-18 00:00:00",,,0
"2017-12-19 00:00:00",,,399
"2017-12-20 00:00:00",,,43
"2017-12-21 00:00:00",1,,150
"2017-12-22 00:00:00",,,0
"2017-12-23 00:00:00",,,0
"2017-12-24 00:00:00",,,0
"2017-12-25 00:00:00",,,0
"2017-12-26 00:00:00",,,0
"2017-12-27 00:00:00",,,0
"2017-12-28 00:00:00",,,0
"2017-12-29 00:00:00",,,0
"2017-12-30 00:00:00",,,0
"2017-12-31 00:00:00",,,0
"2018-01-01 00:00:00",,,0
"2018-01-02 00:00:00",,,0
"2018-01-03 00:00:00",,,0
"2018-01-04 00:00:00",,,0
"2018-01-05 00:00:00",,,0
"2018-01-06 00:00:00",,,5
"2018-01-07 00:00:00",,,0
"2018-01-08 00:00:00",,,0
"2018-01-09 00:00:00",,,2
"2018-01-10 00:00:00",,,3
"2018-01-11 00:00:00",2,,0
"2018-01-12 00:00:00",2,,0
"2018-01-13 00:00:00",,,3
"2018-01-14 00:00:00",,,0
"2018-01-15 00:00:00",2,,0
"2018-01-16 00:00:00",2,,0
"2018-01-17 00:00:00",2,,0
"2018-01-18 00:00:00",2,,0
"2018-01-19 00:00:00",2,,0
"2018-01-20 00:00:00",,,0
"2018-01-21 00:00:00",,,0
"2018-01-22 00:00:00",3,,0
"2018-01-23 00:00:00",2,,0
"2018-01-24 00:00:00",2,,0
"2018-01-25 00:00:00",3,,0
"2018-01-26 00:00:00",3,,0
"2018-01-27 00:00:00",,,0
"2018-01-28 00:00:00",2,,0
"2018-01-29 00:00:00",3,,42
"2018-01-30 00:00:00",3,,144654
"2018-01-31 00:00:00",3,,109030
"2018-02-01 00:00:00",3,,76087
"2018-02-02 00:00:00",3,,55265
"2018-02-03 00:00:00",2,,44336
"2018-02-04 00:00:00",2,,42008
"2018-02-05 00:00:00",2,,671
"2018-02-06 00:00:00",2,,473
"2018-02-07 00:00:00",2,,48507
"2018-02-08 00:00:00",1,,25323
"2018-02-09 00:00:00",1,,12739
"2018-02-10 00:00:00",,,29965
"2018-02-11 00:00:00",,,12134
"2018-02-12 00:00:00",,,18727
"2018-02-13 00:00:00",2,,12995
"2018-02-14 00:00:00",2,,6364
"2018-02-15 00:00:00",1,,3746
"2018-02-16 00:00:00",2,,4220
"2018-02-17 00:00:00",,,8511
"2018-02-18 00:00:00",,,37828
"2018-02-19 00:00:00",2,,9060
"2018-02-20 00:00:00",2,,7113
"2018-02-21 00:00:00",2,,4704
"2018-02-22 00:00:00",6490,,8051
"2018-02-23 00:00:00",9535,,7832
"2018-02-24 00:00:00",9967,,6273
"2018-02-25 00:00:00",10617,,10881
"2018-02-26 00:00:00",8551,,20438
"2018-02-27 00:00:00",7476,,10663
"2018-02-28 00:00:00",7909,,9830
"2018-03-01 00:00:00",6444,,6021
"2018-03-02 00:00:00",6666,,11361
"2018-03-03 00:00:00",7671,,8539
"2018-03-04 00:00:00",8250,,6459
"2018-03-05 00:00:00",6029,,5053
"2018-03-06 00:00:00",5158,,6684
"2018-03-07 00:00:00",4978,,7743
"2018-03-08 00:00:00",5477,,4221
"2018-03-09 00:00:00",4807,,5024
"2018-03-10 00:00:00",4888,,6633
"2018-03-11 00:00:00",5477,,2746
"2018-03-12 00:00:00",4285,,12836
"2018-03-13 00:00:00",3943,,1866
"2018-03-14 00:00:00",3586,,2489
"2018-03-15 00:00:00",3301,,2617
"2018-03-16 00:00:00",3539,,1886
"2018-03-17 00:00:00",3724,,2632
"2018-03-18 00:00:00",4052,,4559
"2018-03-19 00:00:00",3105,,3418
"2018-03-20 00:00:00",2760,,2307
"2018-03-21 00:00:00",2762,,2204
"2018-03-22 00:00:00",2410,,1945
"2018-03-23 00:00:00",2476,,1984
"2018-03-24 00:00:00",2658,,751
"2018-03-25 00:00:00",3009,,4168
"2018-03-26 00:00:00",2428,,629
"2018-03-27 00:00:00",2208,,940
"2018-03-28 00:00:00",2040,,1014
"2018-03-29 00:00:00",1996,,606
"2018-03-30 00:00:00",2166,,1463
"2018-03-31 00:00:00",2181,,843
"2018-04-01 00:00:00",2242,,1543
"2018-04-02 00:00:00",2247,,829
"2018-04-03 00:00:00",1782,,3947
"2018-04-04 00:00:00",1740,,1956
"2018-04-05 00:00:00",1756,,1175
"2018-04-06 00:00:00",1790,,988
"2018-04-07 00:00:00",2067,,809
"2018-04-08 00:00:00",2131,,1688
"2018-04-09 00:00:00",1821,,671
"2018-04-10 00:00:00",1632,,539
"2018-04-11 00:00:00",1550,,1276
"2018-04-12 00:00:00",1902,,2961
"2018-04-13 00:00:00",1943,,802
"2018-04-14 00:00:00",2097,,1653
"2018-04-15 00:00:00",2237,,995
"2018-04-16 00:00:00",1757,,2135
"2018-04-17 00:00:00",1647,,1759
"2018-04-18 00:00:00",1580,,1825
"2018-04-19 00:00:00",1587,,3143
"2018-04-20 00:00:00",1386,,626
"2018-04-21 00:00:00",1546,,779
"2018-04-22 00:00:00",1652,,880
"2018-04-23 00:00:00",1491,,2003
"2018-04-24 00:00:00",1433,,950
"2018-04-25 00:00:00",1281,,3015
"2018-04-26 00:00:00",1363,,2055
"2018-04-27 00:00:00",1272,,951
"2018-04-28 00:00:00",1375,,1323
"2018-04-29 00:00:00",1492,,917
"2018-04-30 00:00:00",1303,,1041
"2018-05-01 00:00:00",1260,,1311
"2018-05-02 00:00:00",1181,,1561
"2018-05-03 00:00:00",1117,,3231
"2018-05-04 00:00:00",1037,,937
"2018-05-05 00:00:00",1044,,4569
"2018-05-06 00:00:00",1105,,1008
"2018-05-07 00:00:00",1130,,1353
"2018-05-08 00:00:00",908,,3287
"2018-05-09 00:00:00",829,,12470
"2018-05-10 00:00:00",862,,3130
"2018-05-11 00:00:00",1918,,2728
"2018-05-12 00:00:00",2147,,866
"2018-05-13 00:00:00",2289,,1073
"2018-05-14 00:00:00",1990,,35271
"2018-05-15 00:00:00",1920,,47853
"2018-05-16 00:00:00",1843,,1904
"2018-05-17 00:00:00",1798,,1807
"2018-05-18 00:00:00",1762,,14238
"2018-05-19 00:00:00",1932,,1098
"2018-05-20 00:00:00",2118,,3111
"2018-05-21 00:00:00",1819,,1108
"2018-05-22 00:00:00",1701,,1140
"2018-05-23 00:00:00",1558,,2973
"2018-05-24 00:00:00",1600,,1352
"2018-05-25 00:00:00",1818,,866
"2018-05-26 00:00:00",2240,,959
"2018-05-27 00:00:00",2772,,2664
"2018-05-28 00:00:00",2842,,1348
"2018-05-29 00:00:00",2144,,1219
"2018-05-30 00:00:00",2011,,1225
"2018-05-31 00:00:00",1917,,2128
"2018-06-01 00:00:00",1815,,20692
"2018-06-02 00:00:00",1986,,4189
"2018-06-03 00:00:00",2095,,2380
"2018-06-04 00:00:00",1780,,2818
"2018-06-05 00:00:00",1880,,3642
"2018-06-06 00:00:00",1694,,905
"2018-06-07 00:00:00",1714,,855
"2018-06-08 00:00:00",2291,,989
"2018-06-09 00:00:00",2854,,909
"2018-06-10 00:00:00",2977,,1056
"2018-06-11 00:00:00",2256,,601
"2018-06-12 00:00:00",2221,,894
"2018-06-13 00:00:00",2211,,2602
"2018-06-14 00:00:00",1933,,1842
"2018-06-15 00:00:00",1923,,1090
"2018-06-16 00:00:00",2212,,873
"2018-06-17 00:00:00",2470,,1227
"2018-06-18 00:00:00",2113,,1026
"2018-06-19 00:00:00",1855,,2250
"2018-06-20 00:00:00",1842,,1254
"2018-06-21 00:00:00",2561,,14829
"2018-06-22 00:00:00",2753,,3111
"2018-06-23 00:00:00",3066,,1409
"2018-06-24 00:00:00",3409,,955
"2018-06-25 00:00:00",2952,,983
"2018-06-26 00:00:00",2810,,1327
"2018-06-27 00:00:00",2685,,1934
"2018-06-28 00:00:00",2697,,16633
"2018-06-29 00:00:00",2638,,903
"2018-06-30 00:00:00",3031,,982
"2018-07-01 00:00:00",3773,,1434
"2018-07-02 00:00:00",3064,,1425
"2018-07-03 00:00:00",2882,,3375
"2018-07-04 00:00:00",3658,,1536
"2018-07-05 00:00:00",3469,,4462
"2018-07-06 00:00:00",2890,,2308
"2018-07-07 00:00:00",2898,,2321
"2018-07-08 00:00:00",3414,,4797
"2018-07-09 00:00:00",2860,,4185
"2018-07-10 00:00:00",2680,,5582
"2018-07-11 00:00:00",2587,,10051
"2018-07-12 00:00:00",2605,,15285
"2018-07-13 00:00:00",2633,,1224
"2018-07-14 00:00:00",2800,,2244
"2018-07-15 00:00:00",3187,,902
"2018-07-16 00:00:00",3711,,2203
"2018-07-17 00:00:00",3473,,2869
"2018-07-18 00:00:00",3312,,1655
"2018-07-19 00:00:00",3177,,1664
"2018-07-20 00:00:00",3111,,1104
"2018-07-21 00:00:00",3193,,694
"2018-07-22 00:00:00",3594,,789
"2018-07-23 00:00:00",3170,,1028
"2018-07-24 00:00:00",2861,,980
"2018-07-25 00:00:00",2797,,2247
"2018-07-26 00:00:00",2635,,1886
"2018-07-27 00:00:00",2474,,5440
"2018-07-28 00:00:00",2677,,869
"2018-07-29 00:00:00",3239,,28316
"2018-07-30 00:00:00",2668,,1779
"2018-07-31 00:00:00",2589,,1349
"2018-08-01 00:00:00",2576,,909
"2018-08-02 00:00:00",2601,,3243
"2018-08-03 00:00:00",2475,,1883
"2018-08-04 00:00:00",2513,,876
"2018-08-05 00:00:00",2931,,9219
"2018-08-06 00:00:00",3432,,28159
"2018-08-07 00:00:00",3128,,6333
"2018-08-08 00:00:00",3017,,7694
"2018-08-09 00:00:00",6492,,8979
"2018-08-10 00:00:00",12786,,10343
"2018-08-11 00:00:00",14038,,7918
"2018-08-12 00:00:00",14136,,15402
"2018-08-13 00:00:00",7841,,2237
"2018-08-14 00:00:00",5091,,8718
"2018-08-15 00:00:00",4851,,2653
"2018-08-16 00:00:00",4405,,4084
"2018-08-17 00:00:00",4133,,7034
"2018-08-18 00:00:00",4477,,7243
"2018-08-19 00:00:00",4928,,11262
"2018-08-20 00:00:00",4080,,3517
"2018-08-21 00:00:00",3842,,4121
"2018-08-22 00:00:00",3766,,8313
"2018-08-23 00:00:00",3729,,18718
"2018-08-24 00:00:00",4031,,8275
"2018-08-25 00:00:00",4295,,12454
"2018-08-26 00:00:00",4904,,27606
"2018-08-27 00:00:00",4041,,4331
"2018-08-28 00:00:00",3957,,1749
"2018-08-29 00:00:00",3624,,1563
"2018-08-30 00:00:00",3712,,3235
"2018-08-31 00:00:00",3540,,5475
"2018-09-01 00:00:00",3801,,3899
"2018-09-02 00:00:00",4237,,4703
"2018-09-03 00:00:00",4024,,1764
"2018-09-04 00:00:00",2991,,4628
"2018-09-05 00:00:00",2954,,3186
"2018-09-06 00:00:00",2524,,809
"2018-09-07 00:00:00",2609,,684
"2018-09-08 00:00:00",3047,,625
"2018-09-09 00:00:00",3168,,1463
"2018-09-10 00:00:00",2682,,563
"2018-09-11 00:00:00",2705,,1683
"2018-09-12 00:00:00",2505,,1724
"2018-09-13 00:00:00",3255,,2022
"2018-09-14 00:00:00",3026,,1700
"2018-09-15 00:00:00",3266,,684
"2018-09-16 00:00:00",3462,,664
"2018-09-17 00:00:00",3064,,1115
"2018-09-18 00:00:00",2912,,1114
"2018-09-19 00:00:00",2780,,1028
"2018-09-20 00:00:00",2762,,1187
"2018-09-21 00:00:00",2904,,1298
"2018-09-22 00:00:00",3183,,956
"2018-09-23 00:00:00",3564,,26695
"2018-09-24 00:00:00",3005,,1272
"2018-09-25 00:00:00",2774,,1186
"2018-09-26 00:00:00",2689,,1623
"2018-09-27 00:00:00",2653,,1413
"2018-09-28 00:00:00",2737,,1067
"2018-09-29 00:00:00",3032,,1175
"2018-09-30 00:00:00",3402,,904
"2018-10-01 00:00:00",2794,,969
"2018-10-02 00:00:00",2711,,1441
"2018-10-03 00:00:00",2771,,966
"2018-10-04 00:00:00",2674,,1694
"2018-10-05 00:00:00",2623,,1014
"2018-10-06 00:00:00",3021,,1456
"2018-10-07 00:00:00",3287,,997
"2018-10-08 00:00:00",2971,,1186
"2018-10-09 00:00:00",2730,,1058
"2018-10-10 00:00:00",2823,,1582
"2018-10-11 00:00:00",2711,,2264
"2018-10-12 00:00:00",2806,,881
"2018-10-13 00:00:00",3200,,431
"2018-10-14 00:00:00",3626,,1779
"2018-10-15 00:00:00",3172,,1505
"2018-10-16 00:00:00",3076,,1525
"2018-10-17 00:00:00",3062,,14056
"2018-10-18 00:00:00",2978,,1120
"2018-10-19 00:00:00",2863,,845
"2018-10-20 00:00:00",3049,,1969
"2018-10-21 00:00:00",3313,,1154
"2018-10-22 00:00:00",2765,,945
"2018-10-23 00:00:00",2485,,1234
"2018-10-24 00:00:00",2663,,933
"2018-10-25 00:00:00",2546,,635
"2018-10-26 00:00:00",2260,,1545
"2018-10-27 00:00:00",2551,,1276
"2018-10-28 00:00:00",2766,,914
"2018-10-29 00:00:00",2521,,824
"2018-10-30 00:00:00",2375,,1531
"2018-10-31 00:00:00",2361,,9658
"2018-11-01 00:00:00",3026,,1762
"2018-11-02 00:00:00",2617,,911
"2018-11-03 00:00:00",2688,,863
"2018-11-04 00:00:00",2770,,4236
"2018-11-05 00:00:00",2259,,2254
"2018-11-06 00:00:00",2161,,544
"2018-11-07 00:00:00",2033,,585
"2018-11-08 00:00:00",1878,,731
"2018-11-09 00:00:00",1985,,481
"2018-11-10 00:00:00",2222,,982
"2018-11-11 00:00:00",2321,,496
"2018-11-12 00:00:00",2041,,1387
"2018-11-13 00:00:00",1778,,3028
"2018-11-14 00:00:00",1664,,2117
"2018-11-15 00:00:00",2901,,3217
"2018-11-16 00:00:00",3005,,1870
"2018-11-17 00:00:00",3259,,723
"2018-11-18 00:00:00",3340,,753
"2018-11-19 00:00:00",2955,,1004
"2018-11-20 00:00:00",2721,,591
"2018-11-21 00:00:00",2755,,2537
"2018-11-22 00:00:00",2786,,2620
"2018-11-23 00:00:00",3041,,12600
"2018-11-24 00:00:00",3264,,612
"2018-11-25 00:00:00",3861,,11976
"2018-11-26 00:00:00",3163,,2198
"2018-11-27 00:00:00",3141,,2244
"2018-11-28 00:00:00",2917,,2131
"2018-11-29 00:00:00",2908,,1632
"2018-11-30 00:00:00",2949,,15384
"2018-12-01 00:00:00",3290,,1277
"2018-12-02 00:00:00",3511,,16413
"2018-12-03 00:00:00",2847,,2017
"2018-12-04 00:00:00",2790,,1087
"2018-12-05 00:00:00",2537,,2815
"2018-12-06 00:00:00",2508,,2428
"2018-12-07 00:00:00",2393,,1235
"2018-12-08 00:00:00",2717,,911
"2018-12-09 00:00:00",2845,,726
"2018-12-10 00:00:00",2457,,685
"2018-12-11 00:00:00",2374,,1962
"2018-12-12 00:00:00",2227,,1694
"2018-12-13 00:00:00",2891,,2494
"2018-12-14 00:00:00",3177,,1886
"2018-12-15 00:00:00",3593,,1033
"2018-12-16 00:00:00",3960,,1446
"2018-12-17 00:00:00",3429,,20279
"2018-12-18 00:00:00",3393,,1365
"2018-12-19 00:00:00",3339,,12226
"2018-12-20 00:00:00",3104,,2005
"2018-12-21 00:00:00",3157,,2533
"2018-12-22 00:00:00",3188,,1370
"2018-12-23 00:00:00",3229,,2329
"2018-12-24 00:00:00",2297,,613
"2018-12-25 00:00:00",2701,,2361
"2018-12-26 00:00:00",2839,,628
"2018-12-27 00:00:00",2953,,1284
"2018-12-28 00:00:00",2982,,639
"2018-12-29 00:00:00",3090,,1807
"2018-12-30 00:00:00",3322,,680
"2018-12-31 00:00:00",2440,,384
"2019-01-01 00:00:00",3074,,470
"2019-01-02 00:00:00",2947,,472
"2019-01-03 00:00:00",2732,,1037
"2019-01-04 00:00:00",2694,,1404
"2019-01-05 00:00:00",2867,,761
"2019-01-06 00:00:00",2964,,771
"2019-01-07 00:00:00",2621,,762
"2019-01-08 00:00:00",2400,,1995
"2019-01-09 00:00:00",2383,,1252
"2019-01-10 00:00:00",2469,,896
"2019-01-11 00:00:00",2565,,968
"2019-01-12 00:00:00",2971,,966
"2019-01-13 00:00:00",3022,,997
"2019-01-14 00:00:00",2537,,2045
"2019-01-15 00:00:00",2431,,921
"2019-01-16 00:00:00",2386,,1936
"2019-01-17 00:00:00",2289,,584
"2019-01-18 00:00:00",2392,,588
"2019-01-19 00:00:00",2592,,909
"2019-01-20 00:00:00",2817,,799
"2019-01-21 00:00:00",2511,,889
"2019-01-22 00:00:00",2260,,816
"2019-01-23 00:00:00",2280,,7946
"2019-01-24 00:00:00",2176,,808
"2019-01-25 00:00:00",2115,,366
"2019-01-26 00:00:00",2324,,355
"2019-01-27 00:00:00",2527,,473
"2019-01-28 00:00:00",2184,,496
"2019-01-29 00:00:00",2127,,1486
"2019-01-30 00:00:00",2144,,1275
"2019-01-31 00:00:00",2016,,4403
"2019-02-01 00:00:00",1843,,463
"2019-02-02 00:00:00",2043,,2656
"2019-02-03 00:00:00",2251,,1901
"2019-02-04 00:00:00",2155,,23495
"2019-02-05 00:00:00",1963,,701
"2019-02-06 00:00:00",1698,,487
"2019-02-07 00:00:00",2459,,603
"2019-02-08 00:00:00",2302,,428
"2019-02-09 00:00:00",2498,,491
"2019-02-10 00:00:00",2730,,744
"2019-02-11 00:00:00",2233,,762
"2019-02-12 00:00:00",2197,,381
"2019-02-13 00:00:00",2064,,470
"2019-02-14 00:00:00",1833,,749
"2019-02-15 00:00:00",1970,,507
"2019-02-16 00:00:00",2088,,2108
"2019-02-17 00:00:00",2243,,625
"2019-02-18 00:00:00",2054,,2497
"2019-02-19 00:00:00",1766,,456
"2019-02-20 00:00:00",1812,,1119
"2019-02-21 00:00:00",1775,,3252
"2019-02-22 00:00:00",1960,,782
"2019-02-23 00:00:00",2254,,2484
"2019-02-24 00:00:00",2477,,2244
"2019-02-25 00:00:00",2134,,2434
"2019-02-26 00:00:00",1945,,2945
"2019-02-27 00:00:00",1860,,483
"2019-02-28 00:00:00",1865,,815
"2019-03-01 00:00:00",1961,,515
"2019-03-02 00:00:00",2249,,825
"2019-03-03 00:00:00",2540,,720
"2019-03-04 00:00:00",2155,,3102
"2019-03-05 00:00:00",2024,,504
"2019-03-06 00:00:00",2018,,7649
"2019-03-07 00:00:00",2029,,1869
"2019-03-08 00:00:00",1935,,919
"2019-03-09 00:00:00",2268,,478
"2019-03-10 00:00:00",2366,,791
"2019-03-11 00:00:00",2138,,1065
"2019-03-12 00:00:00",2926,,1236
"2019-03-13 00:00:00",2590,,843
"2019-03-14 00:00:00",2564,,1519
"2019-03-15 00:00:00",2521,,676
"2019-03-16 00:00:00",2638,,964
"2019-03-17 00:00:00",2844,,784
"2019-03-18 00:00:00",2448,,979
"2019-03-19 00:00:00",2328,,1125
"2019-03-20 00:00:00",2295,,632
"2019-03-21 00:00:00",2277,,1069
"2019-03-22 00:00:00",2196,,1039
"2019-03-23 00:00:00",2373,,768
"2019-03-24 00:00:00",2582,,1667
"2019-03-25 00:00:00",2146,,634
"2019-03-26 00:00:00",2109,,1031
"2019-03-27 00:00:00",2052,,756
"2019-03-28 00:00:00",1983,,579
"2019-03-29 00:00:00",1938,,1014
"2019-03-30 00:00:00",2052,,2985
"2019-03-31 00:00:00",2395,,707
"2019-04-01 00:00:00",2202,,599
"2019-04-02 00:00:00",2204,,646
"2019-04-03 00:00:00",2214,,3770
"2019-04-04 00:00:00",1963,,2632
"2019-04-05 00:00:00",2047,,726
"2019-04-06 00:00:00",2318,,1636
"2019-04-07 00:00:00",2558,,1267
"2019-04-08 00:00:00",2315,,744
"2019-04-09 00:00:00",2205,,1174
"2019-04-10 00:00:00",2060,,691
"2019-04-11 00:00:00",2015,,852
"2019-04-12 00:00:00",2175,,585
"2019-04-13 00:00:00",2371,,553
"2019-04-14 00:00:00",2395,,12380
"2019-04-15 00:00:00",1996,,669
"2019-04-16 00:00:00",2065,,702
"2019-04-17 00:00:00",1999,,832
"2019-04-18 00:00:00",2099,,472
"2019-04-19 00:00:00",2167,,2228
"2019-04-20 00:00:00",2273,,574
"2019-04-21 00:00:00",2376,,480
"2019-04-22 00:00:00",2169,,424
"2019-04-23 00:00:00",2058,,1004
"2019-04-24 00:00:00",1957,,618
"2019-04-25 00:00:00",2007,,2470
"2019-04-26 00:00:00",2146,,502
"2019-04-27 00:00:00",2386,,589
"2019-04-28 00:00:00",2714,,3335
"2019-04-29 00:00:00",2093,,720
"2019-04-30 00:00:00",2120,,606
"2019-05-01 00:00:00",2147,,1064
"2019-05-02 00:00:00",3129,,971
"2019-05-03 00:00:00",3240,,1530
"2019-05-04 00:00:00",3390,,1165
"2019-05-05 00:00:00",3984,,13454
"2019-05-06 00:00:00",3119,,26720
"2019-05-07 00:00:00",3064,,1796
"2019-05-08 00:00:00",3099,,1388
"2019-05-09 00:00:00",2959,,6907
"2019-05-10 00:00:00",3124,,6381
"2019-05-11 00:00:00",3521,,2685
"2019-05-12 00:00:00",3562,,7500
"2019-05-13 00:00:00",2965,,1190
"2019-05-14 00:00:00",2871,,1096
"2019-05-15 00:00:00",2883,,1307
"2019-05-16 00:00:00",2664,,993
"2019-05-17 00:00:00",2878,,757
"2019-05-18 00:00:00",2993,,2666
"2019-05-19 00:00:00",3220,,2443
"2019-05-20 00:00:00",2726,,762
"2019-05-21 00:00:00",2767,,913
"2019-05-22 00:00:00",2719,,771
"2019-05-23 00:00:00",2556,,897
"2019-05-24 00:00:00",2605,,3536
"2019-05-25 00:00:00",2847,,2113
"2019-05-26 00:00:00",3120,,2763
"2019-05-27 00:00:00",3015,,23992
"2019-05-28 00:00:00",2865,,999
"2019-05-29 00:00:00",2750,,1099
"2019-05-30 00:00:00",2721,,2179
"2019-05-31 00:00:00",2721,,2581
"2019-06-01 00:00:00",2674,,3091
"2019-06-02 00:00:00",3153,,779
"2019-06-03 00:00:00",2737,,1780
"2019-06-04 00:00:00",2600,,766
"2019-06-05 00:00:00",2610,,1803
"2019-06-06 00:00:00",2601,,1899
"2019-06-07 00:00:00",2654,,919
"2019-06-08 00:00:00",2546,,570
"2019-06-09 00:00:00",2881,,1979
"2019-06-10 00:00:00",2603,,720
"2019-06-11 00:00:00",2455,,679
"2019-06-12 00:00:00",2393,,920
"2019-06-13 00:00:00",3788,,2041
"2019-06-14 00:00:00",10101,,2735
"2019-06-15 00:00:00",12753,,24325
"2019-06-16 00:00:00",12542,,25508
"2019-06-17 00:00:00",7721,,6600
"2019-06-18 00:00:00",4471,,20495
"2019-06-19 00:00:00",4366,,3424
"2019-06-20 00:00:00",4311,,4072
"2019-06-21 00:00:00",3913,,1617
"2019-06-22 00:00:00",4178,,1745
"2019-06-23 00:00:00",4542,,1823
"2019-06-24 00:00:00",3871,,4005
"2019-06-25 00:00:00",3683,,1968
"2019-06-26 00:00:00",3787,,1462
"2019-06-27 00:00:00",3771,,1286
"2019-06-28 00:00:00",3619,,958
"2019-06-29 00:00:00",3783,,1310
"2019-06-30 00:00:00",4242,,1514
"2019-07-01 00:00:00",3913,,6950
"2019-07-02 00:00:00",3557,,1840
"2019-07-03 00:00:00",3779,,2705
"2019-07-04 00:00:00",3872,,1266
"2019-07-05 00:00:00",3791,,1621
"2019-07-06 00:00:00",3840,,3246
"2019-07-07 00:00:00",4252,,2286
"2019-07-08 00:00:00",3858,,3065
"2019-07-09 00:00:00",3872,,2888
"2019-07-10 00:00:00",3679,,3352
"2019-07-11 00:00:00",3541,,3153
"2019-07-12 00:00:00",3531,,2257
"2019-07-13 00:00:00",3708,,1324
"2019-07-14 00:00:00",4192,,1698
"2019-07-15 00:00:00",3654,,2686
"2019-07-16 00:00:00",3636,,2761
"2019-07-17 00:00:00",3564,,3346
"2019-07-18 00:00:00",3687,,4418
"2019-07-19 00:00:00",3686,,1932
"2019-07-20 00:00:00",3941,,32595
"2019-07-21 00:00:00",4419,,2253
"2019-07-22 00:00:00",3950,,5140
"2019-07-23 00:00:00",3473,,9733
