"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"141","Wednesday 31st July 2019 20:28","676","18568","30704","1938","176.2","199185","17494.44","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"142","Wednesday 31st July 2019 00:57","392","17831","21489","911","145.76","91203","13542.4","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"143","Monday 29th July 2019 19:15","629","21584","27333","1988","189.32","279066","25647.16","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"144","Saturday 27th July 2019 19:45","869","20848","25645","2342","161.52","321744","21629.52","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"145","Friday 26th July 2019 20:51","623","21451","25434","2155","210.24","219497","21414.36","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"146","Thursday 25th July 2019 20:36","548","10340","12086","605","67.24","148962","16551.32","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"147","Thursday 25th July 2019 00:38","396","8798","11308","394","60.6","0","11451.68","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"148","Tuesday 23rd July 2019 20:31","583","13127","18682","1059","111.48","156467","16087.04","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"149","Monday 22nd July 2019 20:09","455","11801","15043","834","111.2","127598","16223.32","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"150","Sunday 21st July 2019 21:31","403","10854","13058","644","99.08","104666","15367.24","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"151","Saturday 20th July 2019 20:26","348","9117","11849","485","84.36","81384","12926.6","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"152","Friday 19th July 2019 21:36","488","9900","12093","601","77.56","98634","12444.52","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"153","Saturday 13th July 2019 21:00","614","12438","19874","1281","128.12","147568","14214.8","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"154","Friday 12th July 2019 22:05","579","12870","17037","1026","108","143455","15100.52","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"155","Thursday 11th July 2019 21:26","543","11229","14540","719","79.88","121436","12805.88","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"156","Wednesday 10th July 2019 22:11","453","8589","13486","249","33.2","100205","13014.8","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Prey|Prey|https://static-cdn.jtvnw.net/ttv-boxart/Prey-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"157","Tuesday 9th July 2019 21:05","519","11547","17678","496","58.36","145653","16754.6","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Prey|Prey|https://static-cdn.jtvnw.net/ttv-boxart/Prey-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"158","Saturday 6th July 2019 22:45","389","7251","9437","222","34.16","88453","12934.32","Apex Legends|apex_Legends|https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Final Fantasy XV|Final_Fantasy_XV|https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20XV-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"159","Friday 5th July 2019 23:00","554","8479","10015","229","25.44","101834","11314.88","Resident Evil 2|Resident_Evil_2_Remake_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Final Fantasy XV|Final_Fantasy_XV|https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20XV-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"160","Thursday 4th July 2019 22:20","489","14449","17158","774","96.76","148443","18555.36","Resident Evil 2|Resident_Evil_2_Remake_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"161","Wednesday 3rd July 2019 23:31","403","8654","10352","371","57.08","81202","11783.24","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Destiny 2|Destiny_2|https://static-cdn.jtvnw.net/ttv-boxart/Destiny%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"162","Monday 1st July 2019 22:19","505","14267","17760","560","67.88","129002","15636.6","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"163","Sunday 30th June 2019 23:40","379","12153","14424","381","60.96","82459","12617.6","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"164","Saturday 29th June 2019 02:15","209","9522","10222","155","44.28","51477","14707.72","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"165","Friday 28th June 2019 23:26","153","6024","8899","17","6.8","2859","9984.4","Battalion 1944|Battalion_1944|https://static-cdn.jtvnw.net/ttv-boxart/Battalion%201944-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Insurgency: Sandstorm|Insurgency_Sandstorm|https://static-cdn.jtvnw.net/ttv-boxart/./Insurgency:%20Sandstorm-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"166","Friday 28th June 2019 00:15","449","8209","9853","40","5.32","82733","10628.28","World of Warcraft|World_of_Warcraft|https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Battalion 1944|Battalion_1944|https://static-cdn.jtvnw.net/ttv-boxart/Battalion%201944-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"167","Saturday 22nd June 2019 23:15","494","7732","10721","218","27.24","80757","10094.64","World of Warcraft|World_of_Warcraft|https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"168","Friday 21st June 2019 23:07","742","7495","10190","390","31.84","112642","8821.96","World of Warcraft|World_of_Warcraft|https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
