"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"30","Wednesday 27th November 2019 01:11","483","14192","17805","604","75.52","122463","14820.64","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Vader Immortal: A Star Wars VR Series|Vader_Immortal_a_Star_Wars_VR_Series|https://static-cdn.jtvnw.net/ttv-boxart/./Vader%20Immortal:%20A%20Star%20Wars%20VR%20Series-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Arizona Sunshine|Arizona_Sunshine|https://static-cdn.jtvnw.net/ttv-boxart/Arizona%20Sunshine-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Pavlov VR|Pavlov_VR|https://static-cdn.jtvnw.net/ttv-boxart/Pavlov%20VR-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"31","Tuesday 26th November 2019 22:44","120","10059","12630","57","32.56","28433","11977.72","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"32","Monday 25th November 2019 20:21","518","12932","17059","610","71.76","132332","15568.48","Call of Duty: Modern Warfare|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Quake Champions|Quake_Champions|https://static-cdn.jtvnw.net/ttv-boxart/Quake%20Champions-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Splitgate: Arena Warfare|Wormhole_Wars|https://static-cdn.jtvnw.net/ttv-boxart/./Splitgate:%20Arena%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"33","Sunday 24th November 2019 20:56","423","14033","18149","548","81.2","112856","16126.68","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Call of Duty: Modern Warfare|Call_of_Duty_Modern_Warfare|https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"34","Saturday 23rd November 2019 05:30","134","13744","16501","205","91.12","48263","19798.24","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Star Wars Battlefront II|Star_Wars_Battlefront_II|https://static-cdn.jtvnw.net/ttv-boxart/Star%20Wars%20Battlefront%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"35","Friday 22nd November 2019 21:46","448","13390","16501","-786","-108.4","125764","17346.76","Star Wars Battlefront II|Star_Wars_Battlefront_II|https://static-cdn.jtvnw.net/ttv-boxart/Star%20Wars%20Battlefront%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"36","Wednesday 20th November 2019 22:46","658","15983","19447","1377","128.08","134726","12177.76","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Star Wars Battlefront II|Star_Wars_Battlefront_II|https://static-cdn.jtvnw.net/ttv-boxart/Star%20Wars%20Battlefront%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"37","Tuesday 19th November 2019 22:47","477","15654","22651","487","62.84","104910","13536.76","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Splitgate: Arena Warfare|Wormhole_Wars|https://static-cdn.jtvnw.net/ttv-boxart/./Splitgate:%20Arena%20Warfare-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"38","Monday 18th November 2019 22:00","434","14508","21838","494","70.56","104931","14990.16","Star Wars Jedi: Fallen Order|Star_Wars_Jedi_Fallen_order|https://static-cdn.jtvnw.net/ttv-boxart/./Star%20Wars%20Jedi:%20Fallen%20Order-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Need for Speed Heat|Need_for_Speed_2019_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Need%20for%20Speed%20Heat-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"39","Monday 18th November 2019 00:00","554","16373","20336","877","94.8","129527","13504.2","Star Wars Jedi: Fallen Order|Star_Wars_Jedi_Fallen_order|https://static-cdn.jtvnw.net/ttv-boxart/./Star%20Wars%20Jedi:%20Fallen%20Order-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Need for Speed Heat|Need_for_Speed_2019_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Need%20for%20Speed%20Heat-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"40","Saturday 16th November 2019 21:49","520","13222","16746","351","41.28","118534","13576","Star Wars Jedi: Fallen Order|Star_Wars_Jedi_Fallen_order|https://static-cdn.jtvnw.net/ttv-boxart/./Star%20Wars%20Jedi:%20Fallen%20Order-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"41","Friday 15th November 2019 23:28","136","12394","13899","128","73.16","42018","18157.72","Star Wars Jedi: Fallen Order|Star_Wars_Jedi_Fallen_order|https://static-cdn.jtvnw.net/ttv-boxart/./Star%20Wars%20Jedi:%20Fallen%20Order-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"42","Wednesday 13th November 2019 20:18","596","14071","17162","490","49","151969","14522.72","Need for Speed Heat|Need_for_Speed_2019_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Need%20for%20Speed%20Heat-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"43","Tuesday 12th November 2019 19:00","569","14104","17190","2247","242.92","159220","16467.24","Halo: The Master Chief Collection|Halo_The_Master_Chief_Collection|https://static-cdn.jtvnw.net/ttv-boxart/./Halo:%20The%20Master%20Chief%20Collection-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Need for Speed Heat|Need_for_Speed_2019_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Need%20for%20Speed%20Heat-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
