"DateTime","Players","Players Trend","Twitch Viewers"
"2020-07-29 21:30:00",16099,13163.945731568561,559
"2020-07-29 21:40:00",15883,13164.167836691993,598
"2020-07-29 21:50:00",15734,13162.328722057042,601
"2020-07-29 22:00:00",15526,13159.999642109899,602
"2020-07-29 22:10:00",15266,13157.4150079837,597
"2020-07-29 22:20:00",14999,13155.301563704435,660
"2020-07-29 22:30:00",14832,13153.967108523288,736
"2020-07-29 22:40:00",14522,13152.802974617329,768
"2020-07-29 22:50:00",14340,13152.738747109346,796
"2020-07-29 23:00:00",14240,13153.017447142382,811
"2020-07-29 23:10:00",14108,13162.247591124322,845
"2020-07-29 23:20:00",14017,13162.628854201073,882
"2020-07-29 23:30:00",13918,13162.967425118379,886
"2020-07-29 23:40:00",13908,13163.363430514255,857
"2020-07-29 23:50:00",13853,13163.381180486727,895
"2020-07-30 00:00:00",13796,13162.888854476374,912
"2020-07-30 00:10:00",13660,13162.509325790106,835
"2020-07-30 00:20:00",13572,13162.18551783944,825
"2020-07-30 00:30:00",13487,13162.458457218363,763
"2020-07-30 00:40:00",13484,13162.797874683401,787
"2020-07-30 00:50:00",13547,13163.09351255368,782
"2020-07-30 01:00:00",13592,13162.959468946146,747
"2020-07-30 01:10:00",13532,13162.269800958038,758
"2020-07-30 01:20:00",13509,13161.345990254373,448
"2020-07-30 01:30:00",13459,13160.43419639907,456
"2020-07-30 01:40:00",13345,13159.258135117274,458
"2020-07-30 01:50:00",13357,13158.847676467347,461
"2020-07-30 02:00:00",13222,13158.312224699921,434
"2020-07-30 02:10:00",13148,13158.655654663582,411
"2020-07-30 02:20:00",13035,13158.935669254484,415
"2020-07-30 02:30:00",13055,13159.730426164517,401
"2020-07-30 02:40:00",12970,13160.588371324742,400
"2020-07-30 02:50:00",12898,13161.596699152073,417
"2020-07-30 03:00:00",12785,13162.183411793852,418
"2020-07-30 03:10:00",12533,13162.77047544323,446
"2020-07-30 03:20:00",12495,13163.97125178945,457
"2020-07-30 03:30:00",12333,13164.879735161323,441
"2020-07-30 03:40:00",12199,13165.282925889218,441
"2020-07-30 03:50:00",11964,13165.478478416473,408
"2020-07-30 04:00:00",11838,13166.46904250633,394
"2020-07-30 04:10:00",11626,13167.085343023893,379
"2020-07-30 04:20:00",11481,13167.61076698601,347
"2020-07-30 04:30:00",11301,13167.952517619204,357
"2020-07-30 04:40:00",11170,13168.682076588479,377
"2020-07-30 04:50:00",11006,13169.443398304147,371
"2020-07-30 05:00:00",10813,13170.534378097122,364
"2020-07-30 05:10:00",10602,13171.870030833608,349
"2020-07-30 05:20:00",10458,13173.451512773923,358
"2020-07-30 05:30:00",10323,13175.123279374517,378
"2020-07-30 05:40:00",10215,13177.111613533749,380
"2020-07-30 05:50:00",10104,13178.727556161213,310
"2020-07-30 06:00:00",10031,13180.31080002202,310
"2020-07-30 06:10:00",9942,13181.497178174208,285
"2020-07-30 06:20:00",9847,13182.034990639795,295
"2020-07-30 06:30:00",9779,13182.726159013322,245
"2020-07-30 06:40:00",9710,13183.288308005724,248
"2020-07-30 06:50:00",9638,13184.100711650695,241
"2020-07-30 07:00:00",9554,13185.057400066069,251
"2020-07-30 07:10:00",9623,13186.197101090183,253
"2020-07-30 07:20:00",9565,13186.58947252505,243
"2020-07-30 07:30:00",9555,13187.268892467788,261
"2020-07-30 07:40:00",9516,13187.902130822593,248
"2020-07-30 07:50:00",9531,13188.943198711593,247
"2020-07-30 08:00:00",9577,13190.065555830854,238
"2020-07-30 08:10:00",9578,13191.11918428587,238
"2020-07-30 08:20:00",9645,13192.052279484635,167
"2020-07-30 08:30:00",9725,13192.661160665122,166
"2020-07-30 08:40:00",9767,13193.02679358,172
"2020-07-30 08:50:00",9815,13193.409350567117,154
"2020-07-30 09:00:00",9903,13193.996483041514,164
"2020-07-30 09:10:00",9919,13194.046167822926,169
"2020-07-30 09:20:00",9982,13194.355611992069,183
"2020-07-30 09:30:00",10046,13194.795493337737,189
"2020-07-30 09:40:00",10070,13195.096816154606,112
"2020-07-30 09:50:00",10086,13195.325845171235,124
"2020-07-30 10:00:00",10147,13195.776215449838,123
"2020-07-30 10:10:00",10284,13195.910561887456,116
"2020-07-30 10:20:00",10358,13195.600980068273,114
"2020-07-30 10:30:00",10546,13195.186095969606,99
"2020-07-30 10:40:00",10662,13194.082500550598,87
"2020-07-30 10:50:00",10743,13192.957872205701,104
"2020-07-30 11:00:00",10864,13191.651731637481,139
"2020-07-30 11:10:00",10935,13190.301646294458,157
"2020-07-30 11:20:00",11153,13189.482738685163,138
"2020-07-30 11:30:00",11267,13188.041122949011,142
"2020-07-30 11:40:00",11483,13186.824964210986,148
"2020-07-30 11:50:00",11728,13185.267736207463,152
"2020-07-30 12:00:00",11854,13183.312217817416,159
"2020-07-30 12:10:00",12026,13181.29826698601,236
"2020-07-30 12:20:00",12268,13179.821075597396,213
"2020-07-30 12:30:00",12403,13177.723268362512,213
"2020-07-30 12:40:00",12573,13176.035052582312,235
"2020-07-30 12:50:00",12665,13174.776077799797,235
"2020-07-30 13:00:00",12857,13174.026965642546,263
"2020-07-30 13:10:00",13064,13172.675717156697,263
"2020-07-30 13:20:00",13253,13171.437052637373,851
"2020-07-30 13:30:00",13404,13170.41818769959,710
"2020-07-30 13:40:00",13582,13169.223096299966,668
"2020-07-30 13:50:00",13736,13168.44601365488,654
"2020-07-30 14:00:00",13879,13168.279567228277,583
"2020-07-30 14:10:00",14079,13168.738953584405,570
"2020-07-30 14:20:00",14190,13168.80554179055,579
"2020-07-30 14:30:00",14385,13168.817262691331,576
"2020-07-30 14:40:00",14565,13168.562651415043,543
"2020-07-30 14:50:00",14751,13168.253000770837,552
"2020-07-30 15:00:00",14709,13167.535018169801,557
"2020-07-30 15:10:00",14840,13167.219772051532,498
"2020-07-30 15:20:00",14955,13167.314564750573,492
"2020-07-30 15:30:00",15044,13167.70734225305,515
"2020-07-30 15:40:00",15146,13167.676088811799,484
"2020-07-30 15:50:00",15196,13167.683287908814,485
"2020-07-30 16:00:00",15208,13167.840401662806,379
"2020-07-30 16:10:00",15266,13167.70802362074,387
"2020-07-30 16:20:00",15272,13167.090842142932,411
"2020-07-30 16:30:00",15293,13166.4903851448,298
"2020-07-30 16:40:00",15381,13165.655702841093,303
"2020-07-30 16:50:00",15422,13164.435318246884,287
"2020-07-30 17:00:00",15495,13163.064303215502,305
"2020-07-30 17:10:00",15556,13161.607215615019,260
"2020-07-30 17:20:00",15646,13159.704320834706,269
"2020-07-30 17:30:00",15722,13157.389694141611,213
"2020-07-30 17:40:00",15761,13155.093478141172,231
"2020-07-30 17:50:00",15910,13153.360622453474,237
"2020-07-30 18:00:00",15927,13151.080566567558,242
"2020-07-30 18:10:00",15965,13148.758947252505,253
"2020-07-30 18:20:00",16084,13146.734872260762,274
"2020-07-30 18:30:00",16197,13144.770090023125,285
"2020-07-30 18:40:00",16287,13142.431168098225,288
"2020-07-30 18:50:00",16381,13139.856554894835,278
"2020-07-30 19:00:00",16407,13137.22742539368,297
"2020-07-30 19:10:00",16414,13134.558060786258,265
"2020-07-30 19:20:00",16542,13132.073615240613,276
"2020-07-30 19:30:00",16604,13129.592149818303,284
"2020-07-30 19:40:00",16653,13127.126108082812,301
"2020-07-30 19:50:00",16682,13124.38824193371,292
"2020-07-30 20:00:00",16607,13121.86313456668,287
"2020-07-30 20:10:00",16570,13119.97702620857,319
"2020-07-30 20:20:00",16598,13118.112563319019,316
"2020-07-30 20:30:00",16580,13115.64088481445,295
"2020-07-30 20:40:00",16429,13112.935042946812,301
"2020-07-30 20:50:00",16345,13111.107263792535,314
"2020-07-30 21:00:00",16188,13108.999917409978,303
"2020-07-30 21:10:00",16015,13107.470343299196,281
"2020-07-30 21:20:00",15831,13105.618840160776,410
"2020-07-30 21:30:00",15681,13103.891111937013,358
"2020-07-30 21:40:00",15572,13102.853581654004,406
"2020-07-30 21:50:00",15365,13101.554151525164,412
"2020-07-30 22:00:00",15098,13100.951581598943,406
"2020-07-30 22:10:00",14910,13100.79796415593,649
"2020-07-30 22:20:00",14771,13101.062334819955,657
"2020-07-30 22:30:00",14659,13101.062038872371,521
"2020-07-30 22:40:00",14541,13101.53432303711,519
"2020-07-30 22:50:00",14403,13101.883128234778,513
"2020-07-30 23:00:00",14300,13102.073794185662,485
"2020-07-30 23:10:00",14146,13101.857181202511,499
"2020-07-30 23:20:00",14070,13101.422702620857,467
"2020-07-30 23:30:00",13985,13100.676694471977,505
"2020-07-30 23:40:00",13916,13099.529305693206,536
"2020-07-30 23:50:00",13763,13098.309884649267,503
"2020-07-31 00:00:00",13729,13097.407850181698,530
"2020-07-31 00:10:00",13612,13096.055142605439,513
"2020-07-31 00:20:00",13633,13095.287399515471,517
"2020-07-31 00:30:00",13575,13094.463137319679,525
"2020-07-31 00:40:00",13551,13093.763675531329,542
"2020-07-31 00:50:00",13531,13093.24600126638,563
"2020-07-31 01:00:00",13486,13092.495918676355,482
"2020-07-31 01:10:00",13396,13091.56657444114,477
"2020-07-31 01:20:00",13379,13091.05472277282,353
"2020-07-31 01:30:00",13312,13090.74130051756,322
"2020-07-31 01:40:00",13333,13091.233729765443,334
"2020-07-31 01:50:00",13349,13091.656425503796,319
"2020-07-31 02:00:00",13354,13092.724314502808,314
"2020-07-31 02:10:00",13263,13093.573339940534,314
"2020-07-31 02:20:00",13212,13095.17765113974,318
"2020-07-31 02:30:00",13238,13097.45220790662,320
"2020-07-31 02:40:00",13177,13099.666763021693,335
"2020-07-31 02:50:00",13047,13101.623795562162,348
"2020-07-31 03:00:00",12949,13104.380485354035,327
"2020-07-31 03:10:00",12776,13107.382412454575,344
"2020-07-31 03:20:00",12689,13110.66061006497,341
"2020-07-31 03:30:00",12422,13113.653266435413,369
"2020-07-31 03:40:00",12279,13117.36502725471,384
"2020-07-31 03:50:00",12179,13121.411091840106,449
"2020-07-31 04:00:00",11968,13125.466729985683,478
"2020-07-31 04:10:00",11749,13130.080346327497,506
"2020-07-31 04:20:00",11585,13135.39120829204,518
"2020-07-31 04:30:00",11464,13141.346726682083,506
"2020-07-31 04:40:00",11338,13147.5146459641,472
"2020-07-31 04:50:00",11223,13153.79310510957,462
"2020-07-31 05:00:00",11080,13160.684629996696,472
"2020-07-31 05:10:00",10931,13167.996407333992,494
"2020-07-31 05:20:00",10811,13175.07371159564,517
"2020-07-31 05:30:00",10721,13182.52401304922,515
"2020-07-31 05:40:00",10554,13189.875254652572,522
"2020-07-31 05:50:00",10433,13197.67007350512,528
"2020-07-31 06:00:00",10269,13205.459241823588,497
"2020-07-31 06:10:00",10064,13213.611221231142,511
"2020-07-31 06:20:00",9999,13222.152392357668,466
"2020-07-31 06:30:00",9906,13230.552561667215,485
"2020-07-31 06:40:00",9872,13239.5821564255,231
"2020-07-31 06:50:00",9842,13248.833477865872,248
"2020-07-31 07:00:00",9771,13257.834902543771,235
"2020-07-31 07:10:00",9723,13266.696564255035,217
"2020-07-31 07:20:00",9698,13275.515575101857,221
"2020-07-31 07:30:00",9693,13284.550352384094,219
"2020-07-31 07:40:00",9730,13293.864738189623,212
"2020-07-31 07:50:00",9760,13303.063429137757,194
"2020-07-31 08:00:00",9788,13312.208863285978,188
"2020-07-31 08:10:00",9771,13321.300607036666,198
"2020-07-31 08:20:00",9789,13331.128317365927,207
"2020-07-31 08:30:00",9837,13340.905193535951,205
"2020-07-31 08:40:00",9882,13350.516703832174,194
"2020-07-31 08:50:00",9955,13360.008155764779,208
"2020-07-31 09:00:00",9972,13369.05168758947,151
"2020-07-31 09:10:00",10038,13377.992876610504,170
"2020-07-31 09:20:00",10123,13386.85461402929,183
"2020-07-31 09:30:00",10185,13395.578715174537,141
"2020-07-31 09:40:00",10211,13403.844469221447,140
"2020-07-31 09:50:00",10268,13412.049843078954,146
"2020-07-31 10:00:00",10256,13420.095935194358,206
"2020-07-31 10:10:00",10309,13428.27869315053,215
"2020-07-31 10:20:00",10349,13436.088240557205,228
"2020-07-31 10:30:00",10392,13443.67761672723,238
"2020-07-31 10:40:00",10510,13451.434485464153,237
"2020-07-31 10:50:00",10562,13459.355143981938,298
"2020-07-31 11:00:00",10664,13467.803243034907,297
"2020-07-31 11:10:00",10837,13476.51733013985,294
"2020-07-31 11:20:00",10926,13484.652784660278,291
"2020-07-31 11:30:00",11119,13493.190638420876,272
"2020-07-31 11:40:00",11237,13501.240371379801,283
"2020-07-31 11:50:00",11423,13509.554020757625,292
"2020-07-31 12:00:00",11551,13517.816491851116,284
"2020-07-31 12:10:00",11801,13526.337187534411,292
"2020-07-31 12:20:00",11944,13534.656095143706,280
"2020-07-31 12:30:00",12137,13543.412303160443,274
"2020-07-31 12:40:00",12436,13552.29383465477,230
"2020-07-31 12:50:00",12618,13561.146260048452,228
"2020-07-31 13:00:00",12694,13569.58261067063,228
"2020-07-31 13:10:00",12927,13578.647602136327,264
"2020-07-31 13:20:00",13146,13587.320745237308,292
"2020-07-31 13:30:00",13287,13596.026050269793,296
"2020-07-31 13:40:00",13536,13605.325377161105,355
"2020-07-31 13:50:00",13786,13614.55289202731,397
"2020-07-31 14:00:00",14028,13624.248176136987,404
"2020-07-31 14:10:00",14152,13633.128255423411,453
"2020-07-31 14:20:00",14255,13642.578426109458,485
"2020-07-31 14:30:00",14396,13652.130767536615,486
"2020-07-31 14:40:00",14571,13661.751858275516,536
"2020-07-31 14:50:00",14732,13671.216943343243,520
"2020-07-31 15:00:00",14750,13680.746008148879,541
"2020-07-31 15:10:00",14928,13690.428676632528,525
"2020-07-31 15:20:00",15097,13699.75461127629,520
"2020-07-31 15:30:00",15117,13708.956633355356,543
"2020-07-31 15:40:00",15210,13718.115687974889,532
"2020-07-31 15:50:00",15311,13727.19676384759,552
"2020-07-31 16:00:00",15265,13735.347999944937,534
"2020-07-31 16:10:00",15267,13743.292196619313,522
"2020-07-31 16:20:00",15315,13751.16729297434,476
"2020-07-31 16:30:00",15271,13758.575562988655,457
"2020-07-31 16:40:00",15314,13765.768816760266,449
"2020-07-31 16:50:00",15307,13773.038927430898,459
"2020-07-31 17:00:00",15350,13780.008231472304,508
"2020-07-31 17:10:00",15307,13785.975773593214,485
"2020-07-31 17:20:00",15346,13792.079898964872,484
"2020-07-31 17:30:00",15420,13798.081433762802,347
"2020-07-31 17:40:00",15571,13804.24199565026,335
"2020-07-31 17:50:00",15596,13809.777722717765,347
"2020-07-31 18:00:00",15662,13815.45921429358,357
"2020-07-31 18:10:00",15736,13820.875454245128,359
"2020-07-31 18:20:00",15842,13825.923198160996,356
"2020-07-31 18:30:00",15902,13830.995670906286,236
"2020-07-31 18:40:00",15937,13836.22865047902,289
"2020-07-31 18:50:00",16004,13841.445153342142,282
"2020-07-31 19:00:00",16038,13846.973075652462,306
"2020-07-31 19:10:00",16055,13852.677933322324,312
"2020-07-31 19:20:00",16162,13858.19299223654,337
"2020-07-31 19:30:00",16222,13863.678731692547,337
"2020-07-31 19:40:00",16212,13869.129060676136,365
"2020-07-31 19:50:00",16290,13874.752759883273,368
"2020-07-31 20:00:00",16349,13880.323312410528,384
"2020-07-31 20:10:00",16297,13885.55017343905,382
"2020-07-31 20:20:00",16189,13890.287839995595,395
"2020-07-31 20:30:00",16162,13895.303043442353,436
"2020-07-31 20:40:00",16156,13900.650444609624,489
"2020-07-31 20:50:00",16062,13905.906982986457,475
"2020-07-31 21:00:00",16023,13911.26452896157,464
"2020-07-31 21:10:00",15847,13916.81806106156,487
"2020-07-31 21:20:00",15643,13922.416329424073,488
"2020-07-31 21:30:00",15590,13928.583821990971,460
"2020-07-31 21:40:00",15452,13934.322610395333,479
"2020-07-31 21:50:00",15410,13940.3932111001,447
"2020-07-31 22:00:00",15206,13946.083450335867,439
"2020-07-31 22:10:00",15052,13952.003386190949,449
"2020-07-31 22:20:00",14838,13957.494755533533,461
"2020-07-31 22:30:00",14744,13963.056876995928,494
"2020-07-31 22:40:00",14583,13967.506503964323,444
"2020-07-31 22:50:00",14414,13971.972545699815,474
"2020-07-31 23:00:00",14237,13976.08053215505,540
"2020-07-31 23:10:00",14032,13979.762120085896,672
"2020-07-31 23:20:00",13886,13983.472022629667,734
"2020-07-31 23:30:00",13743,13986.90831130933,751
"2020-07-31 23:40:00",13700,13990.447052912676,754
"2020-07-31 23:50:00",13602,13994.11882639577,744
"2020-08-01 00:00:00",13467,13997.520798920823,691
"2020-08-01 00:10:00",13423,14000.84367773373,691
"2020-08-01 00:20:00",13420,14003.470997136881,739
"2020-08-01 00:30:00",13396,14005.769628895498,719
"2020-08-01 00:40:00",13445,14008.28696591785,738
"2020-08-01 00:50:00",13416,14010.058735271446,756
"2020-08-01 01:00:00",13347,14011.813876500386,746
"2020-08-01 01:10:00",13341,14014.04082011893,722
"2020-08-01 01:20:00",13373,14016.32482656095,691
"2020-08-01 01:30:00",13414,14018.729462614248,687
"2020-08-01 01:40:00",13419,14021.117580662922,657
"2020-08-01 01:50:00",13507,14023.620154718643,652
"2020-08-01 02:00:00",13474,14025.66907554234,670
"2020-08-01 02:10:00",13513,14028.17031439269,636
"2020-08-01 02:20:00",13600,14031.056904525933,662
"2020-08-01 02:30:00",13603,14033.569045259334,706
"2020-08-01 02:40:00",13515,14035.778156315384,688
"2020-08-01 02:50:00",13547,14039.034983757298,680
"2020-08-01 03:00:00",13465,14042.389914381678,536
"2020-08-01 03:10:00",13374,14046.020000550601,549
"2020-08-01 03:20:00",13277,14049.744721121024,482
"2020-08-01 03:30:00",13168,14054.296298590467,484
"2020-08-01 03:40:00",13034,14058.842913776018,631
"2020-08-01 03:50:00",12978,14063.970529126751,694
"2020-08-01 04:00:00",12891,14069.679385530231,534
"2020-08-01 04:10:00",12832,14076.102301508647,540
"2020-08-01 04:20:00",12780,14082.30828102632,551
"2020-08-01 04:30:00",12705,14088.454348364721,527
"2020-08-01 04:40:00",12582,14094.332555610617,484
"2020-08-01 04:50:00",12577,14100.647085948687,472
"2020-08-01 05:00:00",12497,14106.926398524394,518
"2020-08-01 05:10:00",12289,14112.938573670304,474
"2020-08-01 05:20:00",12230,14119.622364001763,452
"2020-08-01 05:30:00",12151,14126.285651359985,455
"2020-08-01 05:40:00",12088,14133.213722332344,465
"2020-08-01 05:50:00",12015,14140.187789065083,440
"2020-08-01 06:00:00",11992,14147.695463054732,230
"2020-08-01 06:10:00",11861,14155.40824936681,280
"2020-08-01 06:20:00",11783,14163.263207521202,257
"2020-08-01 06:30:00",11814,14171.502257460634,239
"2020-08-01 06:40:00",11812,14179.74174788019,236
"2020-08-01 06:50:00",11726,14187.670672282791,201
"2020-08-01 07:00:00",11690,14195.996049443896,201
"2020-08-01 07:10:00",11621,14204.346114139413,173
"2020-08-01 07:20:00",11646,14213.227329038651,161
"2020-08-01 07:30:00",11668,14222.096774859598,157
"2020-08-01 07:40:00",11677,14230.612941856623,154
"2020-08-01 07:50:00",11710,14239.241176632531,90
"2020-08-01 08:00:00",11741,14247.828315989429,96
"2020-08-01 08:10:00",11918,14257.382178449512,97
"2020-08-01 08:20:00",11948,14266.393534577692,105
"2020-08-01 08:30:00",11964,14275.66568246889,114
"2020-08-01 08:40:00",11975,14285.689440865543,119
"2020-08-01 08:50:00",11993,14296.056539753332,121
"2020-08-01 09:00:00",11966,14306.48114882722,125
"2020-08-01 09:10:00",12008,14317.411855797818,126
"2020-08-01 09:20:00",12069,14328.379728278825,137
"2020-08-01 09:30:00",12033,14338.911573615242,150
"2020-08-01 09:40:00",12028,14349.5060703667,139
"2020-08-01 09:50:00",12095,14360.533201189297,171
"2020-08-01 10:00:00",12166,14371.90807042176,141
"2020-08-01 10:10:00",12160,14382.877876885806,173
"2020-08-01 10:20:00",12238,14394.081660885366,176
"2020-08-01 10:30:00",12324,14405.4957122013,126
"2020-08-01 10:40:00",12502,14417.238623224315,108
"2020-08-01 10:50:00",12691,14429.220597951768,122
"2020-08-01 11:00:00",12802,14440.910073229821,121
"2020-08-01 11:10:00",12925,14452.258658187427,111
"2020-08-01 11:20:00",13067,14463.752911298317,115
"2020-08-01 11:30:00",13213,14474.934843354258,121
